일자,중식계,석식계
2021-01-27,1014.270481546066,276.7290598417449
2021-01-28,943.4756470699709,379.9175393582592
2021-01-29,658.6127777627436,219.22386816524292
2021-02-01,1244.4789060565747,554.065487847499
2021-02-02,1079.6824918658729,514.8747053919416
2021-02-03,976.7084893270734,378.73203564390906
2021-02-04,965.6118224095547,518.5912898366595
2021-02-05,694.950603838238,345.53314508271495
2021-02-08,1211.7659846801103,574.9693092803142
2021-02-09,1049.075923230045,526.7557028024833
2021-02-10,761.090678822755,204.92871145668428
2021-02-15,1236.3375719021437,605.6126819276493
2021-02-16,1099.2059982737962,617.6942002935688
2021-02-17,993.0299008769355,342.7833305303571
2021-02-18,911.1899950812956,517.6485567549873
2021-02-19,677.4171158111968,316.28734007899595
2021-02-22,1204.295955789161,577.6771197532587
2021-02-23,1048.474950457958,572.533128780284
2021-02-24,909.495418385816,317.7167290201045
2021-02-25,870.4039009362123,491.56651947469965
2021-02-26,472.0149659618252,158.93627384483224
2021-03-02,1061.1076705311445,620.8280055674503
2021-03-03,945.92258304749,398.2968656874259
2021-03-04,957.791835508143,590.3598066078731
2021-03-05,664.3462605224584,372.2328923790255
2021-03-08,1201.55792100452,655.7203627649084
2021-03-09,1072.4534260864723,687.4884722750385
2021-03-10,973.1880969200085,375.7516683142854
2021-03-11,931.5919046767605,557.1118053292527
2021-03-12,959.0622241560112,360.03883134636817
2021-03-15,1370.984829368592,635.6279750870129
2021-03-16,1375.5355965909334,579.9140202219428
2021-03-17,1151.0874981526854,364.5417879263963
2021-03-18,1048.6779476130878,512.3982076325508
2021-03-19,833.4667527150185,329.31624711535557
2021-03-22,1357.2786584436237,561.8713441903602
2021-03-23,1137.6871352464768,564.6962714315026
2021-03-24,998.5464086580384,332.1680227936944
2021-03-25,973.0139091144667,452.19622169617026
2021-03-26,766.4440428272512,310.2394557835237
2021-03-29,1249.175955377358,549.9603121753576
2021-03-30,1060.1983044861768,542.0789750415473
2021-03-31,995.6166060453045,333.75336741189074
2021-04-01,894.2601222922633,450.33264678340373
2021-04-02,642.377206745975,315.3682854167898
2021-04-05,1185.9485217078668,571.6869460796526
2021-04-06,1028.195061389736,540.1891365745895
2021-04-07,972.1026156940112,337.5856345794977
2021-04-08,868.84449564794,480.87356624760247
2021-04-09,612.764166205339,304.1905671078965
